Date,Equity,dayProfit%,dayProfit%,,
2010-07-19,1189064.964206,1.232,XIV - 1.00 - false,,
2010-07-20,1261432.164206,6.086,XIV - 1.00 - false,,
2010-07-21,1244556.284206,-1.338,XIV - 1.00 - false,,
2010-07-22,1312069.044206,5.425,XIV - 1.00 - false,,
2010-07-23,1343398.004206,2.388,XIV - 1.00 - false,,
2010-07-26,1393994.354206,3.766,XIV - 1.00 - false,,
2010-07-27,1401219.764206,0.518,XIV - 1.00 - false,,
2010-07-28,1384361.384206,-1.203,XIV - 1.00 - false,,
2010-07-29,1384361.384206,0,XIV - 1.00 - false,,
2010-07-30,1398813.224206,1.044,XIV - 1.00 - false,,
2010-08-02,1478290.094206,5.682,XIV - 0.45 - false,,
2010-08-03,1470707.834206,-0.513,XIV - 1.00 - false,,
2010-08-04,1485243.614206,0.988,XIV - 1.00 - false,,
2010-08-05,1473131.664206,-0.815,XIV - 1.00 - false,,
2010-08-06,1473131.664206,0,XIV - 1.00 - false,,
2010-08-09,1497357.564206,1.645,XIV - 1.00 - false,,
2010-08-10,1490090.994206,-0.485,XIV - 1.00 - false,,
2010-08-11,1368975.494206,-8.128,XIV - 1.00 - false,,
2010-08-12,1347155.174206,-1.594,XIV - 0.45 - false,,
2010-08-13,1334060.894206,-0.972,XIV - 0.45 - false,,
2010-08-16,1341793.724206,0.58,XIV - 0.45 - false,,
2010-08-17,1360439.664206,1.39,XIV - 0.45 - false,,
2010-08-18,1370145.444206,0.713,XIV - 1.00 - false,,
2010-08-19,1327385.544206,-3.121,XIV - 1.00 - false,,
2010-08-20,1339267.194206,0.895,XIV - 0.45 - false,,
2010-08-23,1348890.444206,0.719,XIV - 0.65 - false,,
2010-08-24,1325927.244206,-1.702,XIV - 1.00 - false,,
2010-08-25,1354463.484206,2.152,None - 0.00 - true,,
2010-08-26,1349999.461886,-0.33,None - 0.00 - false,,
2010-08-27,1349999.461886,0,XIV - 0.45 - false,,
2010-08-30,1331682.121886,-1.357,XIV - 1.00 - false,,
2010-08-31,1354690.221886,1.728,XIV - 1.00 - false,,
2010-09-01,1437504.981886,6.113,XIV - 1.00 - false,,
2010-09-02,1471991.031886,2.399,XIV - 1.00 - false,,
2010-09-03,1543245.461886,4.841,XIV - 1.00 - false,,
2010-09-07,1497296.261886,-2.977,XIV - 1.00 - false,,
2010-09-08,1534066.981886,2.456,XIV - 1.00 - false,,
2010-09-09,1550150.251886,1.048,XIV - 1.00 - false,,
2010-09-10,1582313.431886,2.075,XIV - 1.00 - false,,
2010-09-13,1660408.031886,4.935,XIV - 1.00 - false,,
2010-09-14,1658112.221886,-0.138,XIV - 1.00 - false,,
2010-09-15,1690253.981886,1.938,XIV - 1.00 - false,,
2010-09-16,1697140.181886,0.407,XIV - 1.00 - false,,
2010-09-17,1699435.491886,0.135,XIV - 1.00 - false,,
2010-09-20,1743045.811886,2.566,XIV - 1.00 - false,,
2010-09-21,1736161.711886,-0.395,XIV - 1.00 - false,,
2010-09-22,1706329.441886,-1.718,XIV - 1.00 - false,,
2010-09-23,1653540.071886,-3.094,XIV - 1.00 - false,,
2010-09-24,1743081.341886,5.415,XIV - 1.00 - false,,
2010-09-27,1733902.381886,-0.527,XIV - 1.00 - false,,
2010-09-28,1736197.251886,0.132,XIV - 1.00 - false,,
